Contract Address,Ether Value
0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,5945.735485301205
0xa2201234a4652a704f5539058ccb9ab6ebcd486b,2855.0672342301496
0x8d40e75ed0bcc4ca13aa4113738898f9779858be,143.04580723727113
0xc83355ef25a104938275b46cffd94bf9917d0691,114.41566745991078
0xd2bfceeab8ffa24cdf94faa2683df63df4bcbdc8,110.05313888332681
0xa33c4a314faa9684eeffa6ba334688001ea99bbc,109.02427035646521
0x728781e75735dc0962df3a51d7ef47e798a7107e,107.2751192304
0x25a06d4e1f804ce62cf11b091180a5c84980d93a,101.0014651419247
0x52083b1a21a5abc422b1b0bce5c43ca86ef74cd1,78.35169922902395
0x6de3cc59152e19f108378984f45e20a34c9f6338,56.93971
0x29488e24cfdaa52a0b837217926c0c0853db7962,50.578169216695635
0x00685230359bdb9e16704e1d3918b553e9a015e2,36.822092
0xe9e3f9cfc1a64dfca53614a0182cfad56c10624f,36.07
0x05215fce25902366480696f38c3093e31dbce69a,30.302422451328102
0x336db6c1ead9cc4d5b0a33ac03c057e20640126a,27.43774002261
0xd2344f06ce022a7424619b2af222e71b65824975,26.97600879183038
0x6db943251e4126f913e9733821031791e75df713,26.569397819778356
0xa146240bf2c04005a743032dc0d241ec0bb2ba2b,25.766518574712208
0x792e6c37ae5ced8202794af26671531195418616,24.01373650469178
0x1bb28e79f2482df6bf60efc7a33365703bcf1536,22.724312744
0x269a6ffb97325e8e371f067fea216c9f62848833,22.702469515483877
0xf317a365cfef0aa4357abd057048808a1d430402,22.033968648578142
0x9249133819102b2ed31680468c8c67f6fe9e7505,21.9153731100009
0x37304b0ab297f13f5520c523102797121182fb5b,21.578316030519233
0xbcf5d895eaf788956af641aed83f96a65daef442,21.32783581576981
0xf0b3ba2dd4b2ef75d727a4045d7fbcc415b77bf0,20.509394631150474
0x6552b02716bc7400fd97e5cab13e43607b5e63c3,19.127497584512962
0xf211128cc6d925a3a328647cf78b322b51429c53,18.967238991538334
0x3fd30f3e1fbf4f3ea6bdf3e3bb11826266708869,16.703711126
0x4c29d75cc423e8adaa3839892feb66977e295829,15.891011238356558
0x51e9244bae3fca7473fe48651dfd7db53aa55856,13.81643570414253
0x41a322b28d0ff354040e2cbc676f0320d8c8850d,13.651425
0x6d534b48835701312ebc904d4b37e54d4f7d039f,12.815159297813725
0x0e7c28fb8ed4f5f63aabd022deaeeba40ecc335c,12.21957429703524
0xd9bcf875d0ca721ec89fe49b57c144e7c1f6451e,11.72220771572871
0xc0c2d062306fe840e11f7fcf394df831a09ef20c,11.063263605796859
0x0e915b35cc269b2dfc8bbd8e4a88ed4884a53efc,11.00787430186639
0xbe96a69b2836201d9cbad2c485681dc7a4cc39b9,10.481897048651412
0x549b38e8e5fb1ba4acd4187d8b7c8a04deb53206,9.941333333333333
0x78a450cc4252d2108233d750b7d07e849f02d1ea,9.91052
0x84cc06eddb26575a7f0afd7ec2e3e98d31321397,9.686565129093157
0x70ab487ec48b4b9571d346348da0f10737d48a54,9.26859397818
0x6f46893139386b22f76a9ac1f47c5aafbb6a2f62,8.808125685093652
0xecfae6f958f7ab15bdf171eeefa568e41eabf641,8.462532266219032
0x58232003b3d18021acfc9213d27d6f8b72f4f029,8.128782282858513
0xa5cc679a3528956e8032df4f03756c077c1ee3f4,7.64809964974801
0x1f52b87c3503e537853e160adbf7e330ea0be7c4,7.516592305329698
0x366c513514176bc0edc1e17c290f54f308e43ac3,7.141
0x21ae174c592cbb476819344a895d0e9219f5cc79,6.880905151933114
0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,6.61490587326
